epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,58.1242,0.6323,0.29351,0.87848,0.99976,1,0.995,0.80513,0.76828,0.28038,0.88709,0.0008318,0.0008318,0.0008318
120,58.5817,0.64569,0.29536,0.89685,0.99976,1,0.995,0.8268,0.74133,0.27103,0.87209,0.0008219,0.0008219,0.0008219
121,59.0469,0.64005,0.29551,0.89714,0.99975,1,0.995,0.81285,0.77116,0.30002,0.88346,0.000812,0.000812,0.000812
122,59.5117,0.64568,0.2971,0.898,0.99974,1,0.995,0.82096,0.75433,0.28298,0.87915,0.0008021,0.0008021,0.0008021
123,59.9653,0.60941,0.28333,0.88131,0.99973,1,0.995,0.81814,0.76132,0.28042,0.87993,0.0007922,0.0007922,0.0007922
124,60.4299,0.61448,0.28017,0.88488,0.99972,1,0.995,0.82332,0.74019,0.26913,0.87569,0.0007823,0.0007823,0.0007823
125,60.8873,0.6232,0.28725,0.88857,0.99973,1,0.995,0.82421,0.75475,0.27694,0.87687,0.0007724,0.0007724,0.0007724
126,61.3466,0.61998,0.28785,0.88179,0.99976,1,0.995,0.81815,0.74636,0.26281,0.8759,0.0007625,0.0007625,0.0007625
127,61.7983,0.62096,0.27769,0.88135,0.99975,1,0.995,0.80464,0.78054,0.27035,0.8871,0.0007526,0.0007526,0.0007526
128,62.2598,0.63137,0.28327,0.88602,0.99975,1,0.995,0.8144,0.74618,0.26774,0.87612,0.0007427,0.0007427,0.0007427
129,62.7181,0.63209,0.28422,0.89123,0.99975,1,0.995,0.81281,0.74154,0.26899,0.87563,0.0007328,0.0007328,0.0007328
130,63.1747,0.60763,0.2786,0.88443,0.99974,1,0.995,0.81417,0.73465,0.25943,0.87736,0.0007229,0.0007229,0.0007229
131,63.6325,0.60877,0.27966,0.87642,0.99974,1,0.995,0.80849,0.74214,0.25915,0.88228,0.000713,0.000713,0.000713
132,64.107,0.58128,0.27026,0.87185,0.99973,1,0.995,0.80644,0.75251,0.26886,0.88375,0.0007031,0.0007031,0.0007031
133,64.5546,0.61475,0.27765,0.88235,0.99974,1,0.995,0.81039,0.7446,0.262,0.88297,0.0006932,0.0006932,0.0006932
134,65.0203,0.5986,0.27053,0.87827,0.99972,1,0.995,0.80954,0.80526,0.29429,0.90303,0.0006833,0.0006833,0.0006833
135,65.4927,0.60797,0.27707,0.8949,0.99973,1,0.995,0.81503,0.796,0.27989,0.89869,0.0006734,0.0006734,0.0006734
136,65.951,0.61309,0.27753,0.8816,0.99975,1,0.995,0.79048,0.82229,0.28499,0.90751,0.0006635,0.0006635,0.0006635
137,66.4078,0.61155,0.28069,0.8848,0.99975,1,0.995,0.80733,0.75753,0.27096,0.88664,0.0006536,0.0006536,0.0006536
138,66.8797,0.63388,0.2813,0.88757,0.99975,1,0.995,0.79301,0.78898,0.28004,0.89461,0.0006437,0.0006437,0.0006437
139,67.3356,0.60001,0.2742,0.87299,0.99975,1,0.995,0.80187,0.76554,0.2705,0.89313,0.0006338,0.0006338,0.0006338
140,67.8155,0.60873,0.27459,0.87921,0.99975,1,0.995,0.81464,0.7864,0.26463,0.88797,0.0006239,0.0006239,0.0006239
141,68.2824,0.60725,0.27176,0.88398,0.99975,1,0.995,0.82081,0.78745,0.26901,0.88495,0.000614,0.000614,0.000614
142,68.7405,0.62967,0.28611,0.88858,0.99975,1,0.995,0.82712,0.76742,0.26539,0.88657,0.0006041,0.0006041,0.0006041
143,69.2008,0.59262,0.27218,0.88117,0.99976,1,0.995,0.81874,0.78112,0.26673,0.89067,0.0005942,0.0005942,0.0005942
144,69.6614,0.60314,0.27046,0.87549,0.99975,1,0.995,0.79502,0.81684,0.27075,0.90275,0.0005843,0.0005843,0.0005843
145,70.1207,0.62237,0.27171,0.88578,0.99975,1,0.995,0.79571,0.79424,0.26515,0.90113,0.0005744,0.0005744,0.0005744
146,70.5849,0.58835,0.26733,0.87709,0.99976,1,0.995,0.81975,0.75907,0.26159,0.88195,0.0005645,0.0005645,0.0005645
147,71.0396,0.60012,0.27182,0.88176,0.99976,1,0.995,0.83603,0.74968,0.25834,0.88317,0.0005546,0.0005546,0.0005546
148,71.5094,0.59888,0.27048,0.87503,0.99976,1,0.995,0.83584,0.75105,0.25599,0.88317,0.0005447,0.0005447,0.0005447
149,71.9629,0.58804,0.26296,0.8797,0.99976,1,0.995,0.82653,0.75787,0.25941,0.88246,0.0005348,0.0005348,0.0005348
150,72.433,0.60575,0.26401,0.88348,0.99976,1,0.995,0.81091,0.78566,0.26669,0.8946,0.0005249,0.0005249,0.0005249
151,72.8984,0.60729,0.26841,0.88272,0.99976,1,0.995,0.81204,0.76518,0.2558,0.88747,0.000515,0.000515,0.000515
152,73.3554,0.60191,0.26962,0.87772,0.99976,1,0.995,0.81318,0.76427,0.25888,0.88322,0.0005051,0.0005051,0.0005051
153,73.8068,0.58243,0.26472,0.87381,0.99976,1,0.995,0.81354,0.75683,0.26099,0.88277,0.0004952,0.0004952,0.0004952
154,74.2731,0.58678,0.26233,0.88218,0.99976,1,0.995,0.82008,0.76413,0.25654,0.8836,0.0004853,0.0004853,0.0004853
155,74.7334,0.57884,0.25903,0.87418,0.99975,1,0.995,0.81804,0.77624,0.25807,0.88891,0.0004754,0.0004754,0.0004754
156,75.1917,0.5773,0.25642,0.87898,0.99976,1,0.995,0.81042,0.79634,0.26506,0.89576,0.0004655,0.0004655,0.0004655
157,75.6527,0.58956,0.25882,0.87369,0.99976,1,0.995,0.80301,0.81538,0.27365,0.90672,0.0004556,0.0004556,0.0004556
158,76.1142,0.59069,0.26265,0.87194,0.99976,1,0.995,0.81204,0.78684,0.26543,0.89168,0.0004457,0.0004457,0.0004457
159,76.5647,0.58325,0.26263,0.88246,0.99976,1,0.995,0.82862,0.77412,0.25771,0.88638,0.0004358,0.0004358,0.0004358
160,77.0235,0.59448,0.26093,0.87316,0.99976,1,0.995,0.82632,0.76425,0.25457,0.88137,0.0004259,0.0004259,0.0004259
161,77.4815,0.59961,0.26198,0.88727,0.99976,1,0.995,0.82959,0.75689,0.25064,0.87972,0.000416,0.000416,0.000416
162,77.95,0.57906,0.25605,0.87129,0.99975,1,0.995,0.82237,0.75826,0.25556,0.88467,0.0004061,0.0004061,0.0004061
163,78.412,0.56954,0.25504,0.87406,0.99976,1,0.995,0.82628,0.77368,0.26541,0.89205,0.0003962,0.0003962,0.0003962
164,78.8897,0.58941,0.25662,0.87538,0.99976,1,0.995,0.81968,0.79471,0.26794,0.89759,0.0003863,0.0003863,0.0003863
165,79.3491,0.58181,0.26009,0.86846,0.99975,1,0.995,0.82074,0.78801,0.26294,0.89331,0.0003764,0.0003764,0.0003764
166,79.807,0.60607,0.26612,0.89146,0.99976,1,0.995,0.81636,0.77702,0.25802,0.89137,0.0003665,0.0003665,0.0003665
167,80.2758,0.59152,0.25593,0.87658,0.99976,1,0.995,0.81858,0.78442,0.26392,0.892,0.0003566,0.0003566,0.0003566
168,80.7425,0.56863,0.25372,0.87102,0.99976,1,0.995,0.81021,0.79165,0.26535,0.8951,0.0003467,0.0003467,0.0003467
169,81.1961,0.57299,0.25416,0.88416,0.99976,1,0.995,0.81299,0.77082,0.25965,0.88791,0.0003368,0.0003368,0.0003368
170,81.6579,0.57851,0.25255,0.87301,0.99976,1,0.995,0.82068,0.75525,0.25378,0.88522,0.0003269,0.0003269,0.0003269
171,82.1164,0.54109,0.24283,0.8668,0.99976,1,0.995,0.82862,0.74983,0.25553,0.88203,0.000317,0.000317,0.000317
172,82.5771,0.57101,0.25271,0.87024,0.99976,1,0.995,0.82601,0.75185,0.2528,0.88371,0.0003071,0.0003071,0.0003071
173,83.0298,0.58334,0.25786,0.88034,0.99976,1,0.995,0.81208,0.77013,0.25997,0.89456,0.0002972,0.0002972,0.0002972
174,83.4969,0.58309,0.25484,0.88103,0.99976,1,0.995,0.80996,0.77006,0.25659,0.89452,0.0002873,0.0002873,0.0002873
175,83.9509,0.56801,0.2496,0.87205,0.99976,1,0.995,0.81642,0.75673,0.25375,0.88962,0.0002774,0.0002774,0.0002774
176,84.4101,0.57637,0.25432,0.86941,0.99976,1,0.995,0.80757,0.78488,0.26635,0.89703,0.0002675,0.0002675,0.0002675
177,84.8718,0.57483,0.24953,0.87988,0.99976,1,0.995,0.81129,0.77531,0.26286,0.89379,0.0002576,0.0002576,0.0002576
178,85.3371,0.56455,0.25084,0.87428,0.99975,1,0.995,0.81351,0.76027,0.25533,0.88908,0.0002477,0.0002477,0.0002477
179,85.8033,0.55703,0.24518,0.86703,0.99975,1,0.995,0.80577,0.77328,0.2572,0.89175,0.0002378,0.0002378,0.0002378
180,86.267,0.56339,0.24786,0.86583,0.99975,1,0.995,0.81415,0.76963,0.2587,0.89303,0.0002279,0.0002279,0.0002279
181,86.7227,0.57003,0.24755,0.86773,0.99976,1,0.995,0.82417,0.74927,0.2528,0.88469,0.000218,0.000218,0.000218
182,87.1869,0.57344,0.25083,0.86785,0.99975,1,0.995,0.82734,0.75082,0.25137,0.8792,0.0002081,0.0002081,0.0002081
183,87.6386,0.56478,0.24505,0.86436,0.99976,1,0.995,0.82635,0.75265,0.25236,0.87767,0.0001982,0.0001982,0.0001982
184,88.1025,0.55382,0.2423,0.86811,0.99976,1,0.995,0.83522,0.74217,0.25083,0.87293,0.0001883,0.0001883,0.0001883
185,88.5614,0.56491,0.24243,0.86917,0.99976,1,0.995,0.8393,0.7392,0.24845,0.87269,0.0001784,0.0001784,0.0001784
186,89.0307,0.56694,0.24651,0.86923,0.99976,1,0.995,0.83375,0.74683,0.24887,0.8766,0.0001685,0.0001685,0.0001685
187,89.4967,0.53786,0.23678,0.86208,0.99976,1,0.995,0.83296,0.75134,0.25064,0.87763,0.0001586,0.0001586,0.0001586
188,89.9595,0.53773,0.23874,0.87215,0.99976,1,0.995,0.83485,0.74214,0.24632,0.87489,0.0001487,0.0001487,0.0001487
189,90.4163,0.55265,0.24197,0.85858,0.99976,1,0.995,0.84002,0.73649,0.24449,0.87405,0.0001388,0.0001388,0.0001388
190,90.894,0.55521,0.23842,0.86155,0.99976,1,0.995,0.84108,0.73505,0.24426,0.87442,0.0001289,0.0001289,0.0001289
191,92.4226,0.55179,0.24692,0.86241,0.99976,1,0.995,0.83651,0.73052,0.24129,0.87162,0.000119,0.000119,0.000119
192,92.9899,0.54851,0.23621,0.86558,0.99976,1,0.995,0.83069,0.73819,0.24471,0.87537,0.0001091,0.0001091,0.0001091
